"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes"
"2007-12";"154.25";"A";"154.25";"A";"154.2";"A";"154.19";"A";"154.19";"A";"154.19";"A";"154.18";"A";"154.16";"A";"154.16";"A";"154.16";"A";"154.14";"A";"154.13";"A";"154.1";"A";"154.06";"A"
"2007-11";"151.74";"A";"151.73";"A";"151.68";"A";"151.68";"A";"151.68";"A";"151.68";"A";"151.66";"A";"151.65";"A";"151.65";"A";"151.64";"A";"151.62";"A";"151.61";"A";"151.58";"A";"151.55";"A"
"2007-10";"151.6";"A";"151.6";"A";"151.55";"A";"151.54";"A";"151.54";"A";"151.54";"A";"151.53";"A";"151.51";"A";"151.51";"A";"151.51";"A";"151.49";"A";"151.48";"A";"151.45";"A";"151.41";"A"
"2007-09";"150.64";"A";"150.63";"A";"150.58";"A";"150.58";"A";"150.58";"A";"150.57";"A";"150.56";"A";"150.54";"A";"150.55";"A";"150.54";"A";"150.52";"A";"150.51";"A";"150.48";"A";"150.44";"A"
"2007-08";"151.5";"A";"151.49";"A";"151.44";"A";"151.44";"A";"151.44";"A";"151.43";"A";"151.42";"A";"151.4";"A";"151.41";"A";"151.4";"A";"151.38";"A";"151.37";"A";"151.34";"A";"151.3";"A"
"2007-07";"154.1";"A";"154.09";"A";"154.04";"A";"154.04";"A";"154.04";"A";"154.04";"A";"154.02";"A";"154.0";"A";"154.01";"A";"154.0";"A";"153.98";"A";"153.97";"A";"153.94";"A";"153.9";"A"
"2007-06";"154.13";"A";"154.12";"A";"154.08";"A";"154.07";"A";"154.07";"A";"154.07";"A";"154.06";"A";"154.04";"A";"154.04";"A";"154.03";"A";"154.01";"A";"154.0";"A";"153.97";"A";"153.93";"A"
"2007-05";"154.16";"A";"154.15";"A";"154.1";"A";"154.1";"A";"154.1";"A";"154.1";"A";"154.08";"A";"154.06";"A";"154.07";"A";"154.06";"A";"154.04";"A";"154.03";"A";"154.0";"A";"153.96";"A"
"2007-04";"150.64";"A";"150.63";"A";"150.59";"A";"150.58";"A";"150.58";"A";"150.58";"A";"150.57";"A";"150.55";"A";"150.55";"A";"150.55";"A";"150.53";"A";"150.52";"A";"150.49";"A";"150.45";"A"
"2007-03";"149.59";"A";"149.58";"A";"149.53";"A";"149.53";"A";"149.53";"A";"149.52";"A";"149.51";"A";"149.49";"A";"149.5";"A";"149.49";"A";"149.47";"A";"149.46";"A";"149.43";"A";"149.4";"A"
"2007-02";"135.41";"A";"135.4";"A";"135.36";"A";"135.35";"A";"135.35";"A";"135.35";"A";"135.34";"A";"135.32";"A";"135.33";"A";"135.32";"A";"135.3";"A";"135.29";"A";"135.27";"A";"135.23";"A"
"2007-01";"143.49";"A";"143.48";"A";"143.44";"A";"143.43";"A";"143.43";"A";"143.43";"A";"143.42";"A";"143.4";"A";"143.4";"A";"143.4";"A";"143.38";"A";"143.37";"A";"143.34";"A";"143.31";"A"
"2006-12";"159.26";"A";"159.25";"A";"159.2";"A";"159.19";"A";"159.19";"A";"159.19";"A";"159.18";"A";"159.16";"A";"159.16";"A";"159.16";"A";"159.14";"A";"159.12";"A";"159.09";"A";"159.05";"A"
"2006-11";"165.06";"A";"165.05";"A";"165.0";"A";"164.99";"A";"164.99";"A";"164.99";"A";"164.98";"A";"164.95";"A";"164.96";"A";"164.95";"A";"164.93";"A";"164.92";"A";"164.89";"A";"164.85";"A"
"2006-10";"164.41";"A";"164.4";"A";"164.35";"A";"164.35";"A";"164.35";"A";"164.34";"A";"164.33";"A";"164.31";"A";"164.31";"A";"164.31";"A";"164.29";"A";"164.27";"A";"164.24";"A";"164.2";"A"
"2006-09";"165.84";"A";"165.83";"A";"165.78";"A";"165.78";"A";"165.77";"A";"165.77";"A";"165.76";"A";"165.74";"A";"165.74";"A";"165.74";"A";"165.71";"A";"165.7";"A";"165.67";"A";"165.63";"A"
"2006-08";"160.54";"A";"160.53";"A";"160.48";"A";"160.48";"A";"160.48";"A";"160.47";"A";"160.46";"A";"160.44";"A";"160.45";"A";"160.44";"A";"160.42";"A";"160.41";"A";"160.38";"A";"160.34";"A"
"2006-07";"160.21";"A";"160.2";"A";"160.15";"A";"160.14";"A";"160.14";"A";"160.14";"A";"160.13";"A";"160.11";"A";"160.11";"A";"160.11";"A";"160.09";"A";"160.07";"A";"160.04";"A";"160.0";"A"
"2006-06";"162.02";"A";"162.01";"A";"161.96";"A";"161.96";"A";"161.95";"A";"161.95";"A";"161.94";"A";"161.92";"A";"161.92";"A";"161.92";"A";"161.9";"A";"161.88";"A";"161.85";"A";"161.81";"A"
"2006-05";"160.09";"A";"160.08";"A";"160.03";"A";"160.03";"A";"160.03";"A";"160.03";"A";"160.01";"A";"159.99";"A";"160.0";"A";"159.99";"A";"159.97";"A";"159.96";"A";"159.93";"A";"159.89";"A"
"2006-04";"160.5";"A";"160.49";"A";"160.44";"A";"160.43";"A";"160.43";"A";"160.43";"A";"160.42";"A";"160.4";"A";"160.4";"A";"160.4";"A";"160.38";"A";"160.36";"A";"160.33";"A";"160.29";"A"
"2006-03";"160.12";"A";"160.11";"A";"160.06";"A";"160.06";"A";"160.06";"A";"160.05";"A";"160.04";"A";"160.02";"A";"160.03";"A";"160.02";"A";"160.0";"A";"159.99";"A";"159.96";"A";"159.92";"A"
"2006-02";"167.37";"A";"167.37";"A";"167.31";"A";"167.31";"A";"167.31";"A";"167.31";"A";"167.29";"A";"167.27";"A";"167.28";"A";"167.27";"A";"167.25";"A";"167.24";"A";"167.2";"A";"167.16";"A"
"2006-01";"166.52";"A";"166.52";"A";"166.47";"A";"166.46";"A";"166.46";"A";"166.46";"A";"166.44";"A";"166.42";"A";"166.43";"A";"166.42";"A";"166.4";"A";"166.39";"A";"166.36";"A";"166.31";"A"
"2005-12";"165.94";"A";"165.93";"A";"165.88";"A";"165.88";"A";"165.88";"A";"165.87";"A";"165.86";"A";"165.84";"A";"165.84";"A";"165.84";"A";"165.82";"A";"165.8";"A";"165.77";"A";"165.73";"A"
"2005-11";"167.42";"A";"167.41";"A";"167.36";"A";"167.36";"A";"167.36";"A";"167.35";"A";"167.34";"A";"167.32";"A";"167.32";"A";"167.32";"A";"167.3";"A";"167.28";"A";"167.25";"A";"167.21";"A"
"2005-10";"168.82";"A";"168.81";"A";"168.76";"A";"168.75";"A";"168.75";"A";"168.75";"A";"168.74";"A";"168.71";"A";"168.72";"A";"168.71";"A";"168.69";"A";"168.68";"A";"168.65";"A";"168.6";"A"
"2005-09";"169.78";"A";"169.78";"A";"169.72";"A";"169.72";"A";"169.72";"A";"169.71";"A";"169.7";"A";"169.68";"A";"169.69";"A";"169.68";"A";"169.66";"A";"169.64";"A";"169.61";"A";"169.57";"A"
"2005-08";"170.2";"A";"170.19";"A";"170.14";"A";"170.13";"A";"170.13";"A";"170.13";"A";"170.12";"A";"170.09";"A";"170.1";"A";"170.09";"A";"170.07";"A";"170.06";"A";"170.03";"A";"169.98";"A"
"2005-07";"165.52";"A";"165.51";"A";"165.46";"A";"165.45";"A";"165.45";"A";"165.45";"A";"165.44";"A";"165.41";"A";"165.42";"A";"165.41";"A";"165.39";"A";"165.38";"A";"165.35";"A";"165.31";"A"
"2005-06";"161.91";"A";"161.91";"A";"161.86";"A";"161.85";"A";"161.85";"A";"161.85";"A";"161.84";"A";"161.82";"A";"161.82";"A";"161.81";"A";"161.79";"A";"161.78";"A";"161.75";"A";"161.71";"A"
"2005-05";"161.11";"A";"161.1";"A";"161.05";"A";"161.05";"A";"161.04";"A";"161.04";"A";"161.03";"A";"161.01";"A";"161.01";"A";"161.01";"A";"160.99";"A";"160.97";"A";"160.94";"A";"160.9";"A"
"2005-04";"160.0";"A";"159.99";"A";"159.94";"A";"159.94";"A";"159.94";"A";"159.93";"A";"159.92";"A";"159.9";"A";"159.91";"A";"159.9";"A";"159.88";"A";"159.87";"A";"159.84";"A";"159.8";"A"
"2005-03";"165.48";"A";"165.47";"A";"165.42";"A";"165.42";"A";"165.42";"A";"165.41";"A";"165.4";"A";"165.38";"A";"165.38";"A";"165.38";"A";"165.36";"A";"165.34";"A";"165.31";"A";"165.27";"A"
"2005-02";"163.61";"A";"163.61";"A";"163.56";"A";"163.55";"A";"163.55";"A";"163.55";"A";"163.54";"A";"163.51";"A";"163.52";"A";"163.51";"A";"163.49";"A";"163.48";"A";"163.45";"A";"163.41";"A"
"2005-01";"172.95";"A";"172.94";"A";"172.89";"A";"172.88";"A";"172.88";"A";"172.88";"A";"172.87";"A";"172.84";"A";"172.85";"A";"172.84";"A";"172.82";"A";"172.81";"A";"172.77";"A";"172.73";"A"
"2004-12";"169.52";"A";"169.51";"A";"169.46";"A";"169.46";"A";"169.45";"A";"169.45";"A";"169.44";"A";"169.42";"A";"169.42";"A";"169.41";"A";"169.39";"A";"169.38";"A";"169.35";"A";"169.31";"A"
"2004-11";"169.33";"A";"169.32";"A";"169.27";"A";"169.26";"A";"169.26";"A";"169.26";"A";"169.24";"A";"169.22";"A";"169.23";"A";"169.22";"A";"169.2";"A";"169.19";"A";"169.15";"A";"169.11";"A"
"2004-10";"162.14";"A";"162.13";"A";"162.08";"A";"162.08";"A";"162.08";"A";"162.07";"A";"162.06";"A";"162.04";"A";"162.05";"A";"162.04";"A";"162.02";"A";"162.01";"A";"161.98";"A";"161.93";"A"
"2004-09";"168.47";"A";"168.46";"A";"168.41";"A";"168.4";"A";"168.4";"A";"168.4";"A";"168.39";"A";"168.37";"A";"168.37";"A";"168.36";"A";"168.34";"A";"168.33";"A";"168.3";"A";"168.26";"A"
"2004-08";"170.94";"A";"170.94";"A";"170.88";"A";"170.88";"A";"170.88";"A";"170.87";"A";"170.86";"A";"170.84";"A";"170.85";"A";"170.84";"A";"170.82";"A";"170.8";"A";"170.77";"A";"170.73";"A"
"2004-07";"176.02";"A";"176.02";"A";"175.96";"A";"175.96";"A";"175.95";"A";"175.95";"A";"175.94";"A";"175.92";"A";"175.92";"A";"175.91";"A";"175.89";"A";"175.88";"A";"175.84";"A";"175.8";"A"
"2004-06";"177.39";"A";"177.38";"A";"177.32";"A";"177.32";"A";"177.32";"A";"177.31";"A";"177.3";"A";"177.28";"A";"177.28";"A";"177.27";"A";"177.25";"A";"177.24";"A";"177.21";"A";"177.16";"A"
"2004-05";"185.76";"A";"185.76";"A";"185.7";"A";"185.69";"A";"185.69";"A";"185.69";"A";"185.67";"A";"185.65";"A";"185.66";"A";"185.65";"A";"185.62";"A";"185.61";"A";"185.58";"A";"185.53";"A"
"2004-04";"182.49";"A";"182.48";"A";"182.43";"A";"182.42";"A";"182.42";"A";"182.41";"A";"182.4";"A";"182.38";"A";"182.38";"A";"182.38";"A";"182.35";"A";"182.34";"A";"182.31";"A";"182.26";"A"
"2004-03";"180.66";"A";"180.66";"A";"180.6";"A";"180.59";"A";"180.59";"A";"180.59";"A";"180.58";"A";"180.55";"A";"180.56";"A";"180.55";"A";"180.53";"A";"180.51";"A";"180.48";"A";"180.43";"A"
"2004-02";"182.52";"A";"182.51";"A";"182.45";"A";"182.44";"A";"182.44";"A";"182.44";"A";"182.43";"A";"182.4";"A";"182.41";"A";"182.4";"A";"182.38";"A";"182.36";"A";"182.33";"A";"182.28";"A"
"2004-01";"181.66";"A";"181.65";"A";"181.6";"A";"181.59";"A";"181.59";"A";"181.59";"A";"181.57";"A";"181.55";"A";"181.56";"A";"181.55";"A";"181.52";"A";"181.51";"A";"181.48";"A";"181.43";"A"
"2003-12";"187.06";"A";"187.05";"A";"186.99";"A";"186.99";"A";"186.99";"A";"186.98";"A";"186.97";"A";"186.94";"A";"186.95";"A";"186.94";"A";"186.92";"A";"186.9";"A";"186.87";"A";"186.82";"A"
"2003-11";"178.89";"A";"178.88";"A";"178.83";"A";"178.82";"A";"178.82";"A";"178.82";"A";"178.81";"A";"178.78";"A";"178.79";"A";"178.78";"A";"178.76";"A";"178.74";"A";"178.71";"A";"178.67";"A"
"2003-10";"179.07";"A";"179.06";"A";"179.0";"A";"179.0";"A";"179.0";"A";"178.99";"A";"178.98";"A";"178.96";"A";"178.96";"A";"178.95";"A";"178.93";"A";"178.92";"A";"178.88";"A";"178.84";"A"
"2003-09";"179.51";"A";"179.51";"A";"179.45";"A";"179.44";"A";"179.44";"A";"179.44";"A";"179.43";"A";"179.4";"A";"179.41";"A";"179.4";"A";"179.38";"A";"179.36";"A";"179.33";"A";"179.28";"A"
"2003-08";"177.15";"A";"177.14";"A";"177.09";"A";"177.08";"A";"177.08";"A";"177.08";"A";"177.06";"A";"177.04";"A";"177.05";"A";"177.04";"A";"177.02";"A";"177.0";"A";"176.97";"A";"176.92";"A"
"2003-07";"187.33";"A";"187.32";"A";"187.26";"A";"187.25";"A";"187.25";"A";"187.25";"A";"187.24";"A";"187.21";"A";"187.22";"A";"187.21";"A";"187.19";"A";"187.17";"A";"187.14";"A";"187.09";"A"
"2003-06";"191.58";"A";"191.57";"A";"191.51";"A";"191.51";"A";"191.5";"A";"191.5";"A";"191.49";"A";"191.46";"A";"191.47";"A";"191.46";"A";"191.44";"A";"191.42";"A";"191.38";"A";"191.34";"A"
"2003-05";"194.37";"A";"194.36";"A";"194.3";"A";"194.29";"A";"194.29";"A";"194.29";"A";"194.27";"A";"194.25";"A";"194.26";"A";"194.25";"A";"194.22";"A";"194.21";"A";"194.17";"A";"194.12";"A"
"2003-04";"195.5";"A";"195.5";"A";"195.43";"A";"195.43";"A";"195.43";"A";"195.42";"A";"195.41";"A";"195.38";"A";"195.39";"A";"195.38";"A";"195.36";"A";"195.34";"A";"195.31";"A";"195.26";"A"
"2003-03";"193.64";"A";"193.63";"A";"193.57";"A";"193.56";"A";"193.56";"A";"193.56";"A";"193.54";"A";"193.52";"A";"193.53";"A";"193.52";"A";"193.49";"A";"193.48";"A";"193.44";"A";"193.39";"A"
"2003-02";"192.58";"A";"192.57";"A";"192.51";"A";"192.5";"A";"192.5";"A";"192.5";"A";"192.48";"A";"192.46";"A";"192.47";"A";"192.46";"A";"192.43";"A";"192.42";"A";"192.38";"A";"192.33";"A"
"2003-01";"186.02";"A";"186.01";"A";"185.95";"A";"185.94";"A";"185.94";"A";"185.94";"A";"185.93";"A";"185.9";"A";"185.91";"A";"185.9";"A";"185.88";"A";"185.86";"A";"185.83";"A";"185.78";"A"
"2002-12";"190.79";"A";"190.78";"A";"190.72";"A";"190.71";"A";"190.71";"A";"190.71";"A";"190.69";"A";"190.67";"A";"190.68";"A";"190.67";"A";"190.64";"A";"190.63";"A";"190.59";"A";"190.54";"A"
"2002-11";"198.16";"A";"198.15";"A";"198.08";"A";"198.08";"A";"198.08";"A";"198.07";"A";"198.06";"A";"198.03";"A";"198.04";"A";"198.03";"A";"198.01";"A";"197.99";"A";"197.95";"A";"197.9";"A"
"2002-10";"199.5";"A";"199.49";"A";"199.43";"A";"199.42";"A";"199.42";"A";"199.42";"A";"199.4";"A";"199.38";"A";"199.39";"A";"199.38";"A";"199.35";"A";"199.34";"A";"199.3";"A";"199.25";"A"
"2002-09";"199.57";"A";"199.57";"A";"199.5";"A";"199.5";"A";"199.5";"A";"199.49";"A";"199.48";"A";"199.45";"A";"199.46";"A";"199.45";"A";"199.42";"A";"199.41";"A";"199.37";"A";"199.32";"A"
"2002-08";"198.67";"A";"198.66";"A";"198.6";"A";"198.59";"A";"198.59";"A";"198.59";"A";"198.57";"A";"198.55";"A";"198.55";"A";"198.54";"A";"198.52";"A";"198.5";"A";"198.47";"A";"198.42";"A"
"2002-07";"198.68";"A";"198.67";"A";"198.61";"A";"198.6";"A";"198.6";"A";"198.6";"A";"198.58";"A";"198.56";"A";"198.56";"A";"198.55";"A";"198.53";"A";"198.51";"A";"198.48";"A";"198.43";"A"
"2002-06";"199.59";"A";"199.58";"A";"199.52";"A";"199.51";"A";"199.51";"A";"199.51";"A";"199.49";"A";"199.47";"A";"199.47";"A";"199.46";"A";"199.44";"A";"199.42";"A";"199.39";"A";"199.34";"A"
"2002-05";"202.14";"A";"202.13";"A";"202.07";"A";"202.06";"A";"202.06";"A";"202.06";"A";"202.04";"A";"202.02";"A";"202.02";"A";"202.01";"A";"201.99";"A";"201.97";"A";"201.94";"A";"201.88";"A"
"2002-04";"214.68";"A";"214.68";"A";"214.61";"A";"214.6";"A";"214.6";"A";"214.6";"A";"214.58";"A";"214.55";"A";"214.56";"A";"214.55";"A";"214.52";"A";"214.51";"A";"214.47";"A";"214.41";"A"
"2002-03";"214.75";"A";"214.74";"A";"214.68";"A";"214.67";"A";"214.67";"A";"214.66";"A";"214.65";"A";"214.62";"A";"214.63";"A";"214.62";"A";"214.59";"A";"214.57";"A";"214.53";"A";"214.48";"A"
"2002-02";"208.64";"A";"208.64";"A";"208.57";"A";"208.56";"A";"208.56";"A";"208.56";"A";"208.54";"A";"208.52";"A";"208.52";"A";"208.51";"A";"208.49";"A";"208.47";"A";"208.43";"A";"208.38";"A"
"2002-01";"211.02";"A";"211.01";"A";"210.95";"A";"210.94";"A";"210.94";"A";"210.93";"A";"210.92";"A";"210.89";"A";"210.9";"A";"210.89";"A";"210.86";"A";"210.85";"A";"210.81";"A";"210.75";"A"
"2001-12";"206.83";"A";"206.82";"A";"206.76";"A";"206.75";"A";"206.75";"A";"206.75";"A";"206.73";"A";"206.7";"A";"206.71";"A";"206.7";"A";"206.68";"A";"206.66";"A";"206.62";"A";"206.57";"A"
"2001-11";"209.27";"A";"209.26";"A";"209.2";"A";"209.19";"A";"209.19";"A";"209.18";"A";"209.17";"A";"209.14";"A";"209.15";"A";"209.14";"A";"209.11";"A";"209.1";"A";"209.06";"A";"209.01";"A"
"2001-10";"212.73";"A";"212.72";"A";"212.65";"A";"212.65";"A";"212.64";"A";"212.64";"A";"212.62";"A";"212.6";"A";"212.6";"A";"212.59";"A";"212.57";"A";"212.55";"A";"212.51";"A";"212.46";"A"
"2001-09";"214.05";"A";"214.05";"A";"213.98";"A";"213.97";"A";"213.97";"A";"213.97";"A";"213.95";"A";"213.92";"A";"213.93";"A";"213.92";"A";"213.89";"A";"213.88";"A";"213.84";"A";"213.78";"A"
"2001-08";"213.91";"A";"213.9";"A";"213.83";"A";"213.82";"A";"213.82";"A";"213.82";"A";"213.8";"A";"213.78";"A";"213.78";"A";"213.77";"A";"213.75";"A";"213.73";"A";"213.69";"A";"213.64";"A"
"2001-07";"211.94";"A";"211.93";"A";"211.86";"A";"211.85";"A";"211.85";"A";"211.85";"A";"211.83";"A";"211.81";"A";"211.81";"A";"211.8";"A";"211.78";"A";"211.76";"A";"211.72";"A";"211.67";"A"
"2001-06";"213.69";"A";"213.68";"A";"213.61";"A";"213.6";"A";"213.6";"A";"213.6";"A";"213.58";"A";"213.55";"A";"213.56";"A";"213.55";"A";"213.52";"A";"213.51";"A";"213.47";"A";"213.41";"A"
"2001-05";"214.08";"A";"214.08";"A";"214.01";"A";"214.0";"A";"214.0";"A";"214.0";"A";"213.98";"A";"213.95";"A";"213.96";"A";"213.95";"A";"213.92";"A";"213.91";"A";"213.87";"A";"213.81";"A"
"2001-04";"213.31";"A";"213.3";"A";"213.23";"A";"213.22";"A";"213.22";"A";"213.22";"A";"213.2";"A";"213.18";"A";"213.18";"A";"213.17";"A";"213.15";"A";"213.13";"A";"213.09";"A";"213.04";"A"
"2001-03";"213.92";"A";"213.91";"A";"213.85";"A";"213.84";"A";"213.84";"A";"213.83";"A";"213.82";"A";"213.79";"A";"213.8";"A";"213.79";"A";"213.76";"A";"213.75";"A";"213.71";"A";"213.65";"A"
"2001-02";"216.76";"A";"216.75";"A";"216.69";"A";"216.68";"A";"216.68";"A";"216.67";"A";"216.66";"A";"216.63";"A";"216.64";"A";"216.63";"A";"216.6";"A";"216.58";"A";"216.54";"A";"216.49";"A"
"2001-01";"217.22";"A";"217.21";"A";"217.14";"A";"217.13";"A";"217.13";"A";"217.13";"A";"217.11";"A";"217.08";"A";"217.09";"A";"217.08";"A";"217.05";"A";"217.04";"A";"217.0";"A";"216.94";"A"
"2000-12";"220.42";"A";"220.41";"A";"220.34";"A";"220.34";"A";"220.33";"A";"220.33";"A";"220.31";"A";"220.29";"A";"220.29";"A";"220.28";"A";"220.26";"A";"220.24";"A";"220.2";"A";"220.14";"A"
"2000-11";"212.74";"A";"212.73";"A";"212.66";"A";"212.66";"A";"212.65";"A";"212.65";"A";"212.63";"A";"212.61";"A";"212.61";"A";"212.6";"A";"212.58";"A";"212.56";"A";"212.52";"A";"212.47";"A"
"2000-10";"216.24";"A";"216.23";"A";"216.16";"A";"216.16";"A";"216.15";"A";"216.15";"A";"216.13";"A";"216.11";"A";"216.11";"A";"216.1";"A";"216.08";"A";"216.06";"A";"216.02";"A";"215.97";"A"
"2000-09";"221.2";"A";"221.19";"A";"221.12";"A";"221.11";"A";"221.11";"A";"221.1";"A";"221.09";"A";"221.06";"A";"221.07";"A";"221.06";"A";"221.03";"A";"221.01";"A";"220.97";"A";"220.92";"A"
"2000-08";"227.78";"A";"227.77";"A";"227.69";"A";"227.69";"A";"227.69";"A";"227.68";"A";"227.66";"A";"227.64";"A";"227.64";"A";"227.63";"A";"227.6";"A";"227.59";"A";"227.54";"A";"227.49";"A"
"2000-07";"217.6";"A";"217.59";"A";"217.52";"A";"217.52";"A";"217.51";"A";"217.51";"A";"217.49";"A";"217.47";"A";"217.47";"A";"217.46";"A";"217.44";"A";"217.42";"A";"217.38";"A";"217.32";"A"
"2000-06";"223.41";"A";"223.4";"A";"223.33";"A";"223.32";"A";"223.32";"A";"223.32";"A";"223.3";"A";"223.27";"A";"223.28";"A";"223.27";"A";"223.24";"A";"223.23";"A";"223.18";"A";"223.13";"A"
"2000-05";"210.86";"A";"210.85";"A";"210.78";"A";"210.78";"A";"210.77";"A";"210.77";"A";"210.76";"A";"210.73";"A";"210.74";"A";"210.73";"A";"210.7";"A";"210.68";"A";"210.64";"A";"210.59";"A"
"2000-04";"200.23";"A";"200.22";"A";"200.16";"A";"200.15";"A";"200.15";"A";"200.15";"A";"200.13";"A";"200.11";"A";"200.11";"A";"200.1";"A";"200.08";"A";"200.06";"A";"200.02";"A";"199.97";"A"
"2000-03";"222.87";"A";"222.86";"A";"222.79";"A";"222.78";"A";"222.78";"A";"222.77";"A";"222.76";"A";"222.73";"A";"222.74";"A";"222.73";"A";"222.7";"A";"222.68";"A";"222.64";"A";"222.58";"A"
"2000-02";"221.82";"A";"221.81";"A";"221.74";"A";"221.73";"A";"221.73";"A";"221.73";"A";"221.71";"A";"221.68";"A";"221.69";"A";"221.68";"A";"221.65";"A";"221.63";"A";"221.59";"A";"221.54";"A"
"2000-01";"219.43";"A";"219.42";"A";"219.35";"A";"219.34";"A";"219.34";"A";"219.34";"A";"219.32";"A";"219.29";"A";"219.3";"A";"219.29";"A";"219.26";"A";"219.24";"A";"219.2";"A";"219.15";"A"
"1999-12";"213.14";"A";"213.14";"A";"213.07";"A";"213.06";"A";"213.06";"A";"213.06";"A";"213.04";"A";"213.01";"A";"213.02";"A";"213.01";"A";"212.98";"A";"212.97";"A";"212.93";"A";"212.87";"A"
"1999-11";"238.8";"A";"238.79";"A";"238.72";"A";"238.71";"A";"238.71";"A";"238.71";"A";"238.69";"A";"238.66";"A";"238.67";"A";"238.65";"A";"238.62";"A";"238.61";"A";"238.56";"A";"238.5";"A"
"1999-10";"240.66";"A";"240.65";"A";"240.57";"A";"240.56";"A";"240.56";"A";"240.56";"A";"240.54";"A";"240.51";"A";"240.52";"A";"240.5";"A";"240.47";"A";"240.46";"A";"240.41";"A";"240.35";"A"
"1999-09";"237.75";"A";"237.74";"A";"237.67";"A";"237.66";"A";"237.66";"A";"237.65";"A";"237.64";"A";"237.61";"A";"237.61";"A";"237.6";"A";"237.57";"A";"237.55";"A";"237.51";"A";"237.45";"A"
"1999-08";"240.64";"A";"240.63";"A";"240.55";"A";"240.55";"A";"240.55";"A";"240.54";"A";"240.52";"A";"240.49";"A";"240.5";"A";"240.49";"A";"240.46";"A";"240.44";"A";"240.4";"A";"240.33";"A"
"1999-07";"240.35";"A";"240.34";"A";"240.27";"A";"240.26";"A";"240.26";"A";"240.25";"A";"240.24";"A";"240.21";"A";"240.21";"A";"240.2";"A";"240.17";"A";"240.15";"A";"240.11";"A";"240.05";"A"
"1999-06";"237.87";"A";"237.86";"A";"237.78";"A";"237.78";"A";"237.77";"A";"237.77";"A";"237.75";"A";"237.72";"A";"237.73";"A";"237.72";"A";"237.69";"A";"237.67";"A";"237.63";"A";"237.57";"A"
"1999-05";"212.5";"A";"212.49";"A";"212.43";"A";"212.42";"A";"212.42";"A";"212.41";"A";"212.4";"A";"212.37";"A";"212.38";"A";"212.37";"A";"212.34";"A";"212.33";"A";"212.29";"A";"212.23";"A"
"1999-04";"239.12";"A";"239.11";"A";"239.04";"A";"239.03";"A";"239.03";"A";"239.02";"A";"239.01";"A";"238.98";"A";"238.98";"A";"238.97";"A";"238.94";"A";"238.92";"A";"238.88";"A";"238.82";"A"
"1999-03";"245.97";"A";"245.96";"A";"245.88";"A";"245.87";"A";"245.87";"A";"245.87";"A";"245.85";"A";"245.82";"A";"245.82";"A";"245.81";"A";"245.78";"A";"245.76";"A";"245.72";"A";"245.65";"A"
"1999-02";"250.06";"A";"250.05";"A";"249.97";"A";"249.96";"A";"249.96";"A";"249.95";"A";"249.94";"A";"249.9";"A";"249.91";"A";"249.9";"A";"249.87";"A";"249.85";"A";"249.8";"A";"249.74";"A"
